abbhakṣa+Sing+Nom	abbhakṣa
amṛta+Plur+Acc	amṛtaaḥ

amṛta+Plur+Gen	amṛtaām

amṛta+Plur+Nom	amṛtaaḥ

amṛta+Sing+Abl	amṛtaaḥ

amṛta+Sing+Acc	amṛtaam

amṛta+Sing+Dat	amṛtae

amṛta+Sing+Gen	amṛtaaḥ

amṛta+Sing+Ins	amṛtaā

amṛta+Sing+Loc	amṛtai

amṛta+Sing+Nom	amṛta

amṛtopastaraṇa+Sing+Nom	amṛtopastaraṇa

amṛtyu+Sing+Dat	amṛtyue

ana+Sing+Acc	anaam

ana+Sing+Gen	anaaḥ

ana+Sing+Nom	ana

anaddhāpuruṣa+Sing+Nom	anaddhāpuruṣa

anadhyāya+Dual+Acc	anadhyāyaau

anadhyāya+Dual+Nom	anadhyāyaau

anadhyāya+Sing+Loc	anadhyāyai

